title,company,apply_link,company_location,company_city,company_country,job_description,job_date,,,,,,,
Executive Assistant to CEO,LaunchGood,https://secure.collage.co/jobs/launchgood/48147,"Michigan, United States",Michigan,United States,,15-Mar-25,15/03/2025,"('Executive Assistant to CEO','LaunchGood','https://secure.collage.co/jobs/launchgood/48147','Michigan, United States','Michigan','United States','','45731'),",WHEN id = 1 THEN '15/03/2025',,,,1
Experienced Senior Sales Professional,Rubythalib.ai,https://forms.gle/aNeFKfNPVyMxfLeD6,"Surakarta, Indonesia",Surakarta,Indonesia,"We're Hiring: Experienced Senior Sales Professional at Rubythalib.ai

Are you an experienced sales professional with a passion for technology? Rubythalib.ai is seeking a skilled Senior Sales specialist to drive our business forward.

This role is remote with a preference for candidates based in Jakarta.

What You’ll Do:
- Develop and execute sales strategies to attract new business  
- Build and maintain strong relationships with clients  
- Manage the entire sales cycle from prospecting to closing  
- Collaborate with the team to achieve and exceed sales targets

What We’re Looking For:
- Solid experience in sales, preferably within the tech or AI industry  
- Excellent communication, negotiation, and relationship-building skills  
- A self-driven and proactive approach with a focus on results  
- Ability to work remotely while staying connected with a dynamic team

Salary: 7 million - 10 million IDR + commission for successful sales.

Join Rubythalib.ai and help shape the future of AI technology!",24-Mar-25,24/03/2025,"('Experienced Senior Sales Professional','Rubythalib.ai','https://forms.gle/aNeFKfNPVyMxfLeD6','Surakarta, Indonesia','Surakarta','Indonesia','We're Hiring: Experienced Senior Sales Professional at Rubythalib.ai

Are you an experienced sales professional with a passion for technology? Rubythalib.ai is seeking a skilled Senior Sales specialist to drive our business forward.

This role is remote with a preference for candidates based in Jakarta.

What You’ll Do:
- Develop and execute sales strategies to attract new business  
- Build and maintain strong relationships with clients  
- Manage the entire sales cycle from prospecting to closing  
- Collaborate with the team to achieve and exceed sales targets

What We’re Looking For:
- Solid experience in sales, preferably within the tech or AI industry  
- Excellent communication, negotiation, and relationship-building skills  
- A self-driven and proactive approach with a focus on results  
- Ability to work remotely while staying connected with a dynamic team

Salary: 7 million - 10 million IDR + commission for successful sales.

Join Rubythalib.ai and help shape the future of AI technology!','45740'),",WHEN id = 2 THEN '24/03/2025',,,,2
QA Automation Tester (Web and Mobile) - Remote,KangarooHealth,https://wellfound.com/jobs/2726462-qa-automation-tester-web-and-mobile-remote,"California, US",California,United States,,7-Mar-25,07/03/2025,,WHEN id = 3 THEN '07/03/2025',,,,3
Backend Engineer,Wahed,https://jobs.lever.co/wahed.com/43bf4538-01ec-4f42-b416-187fd82940f0,New York,New York,United States,"Wahed is seeking Backend Engineers to join their team, focusing on building, maintaining, and implementing microservices and improving Golang services. The role involves collaboration, innovation, and a commitment to perfection. Candidates should have experience in backend development, preferably with Golang, SQL/NoSQL databases, and AWS tools.",26-Feb-25,26/02/2025,,WHEN id = 4 THEN '26/02/2025',,,,4
React Engineer,Wahed,https://jobs.lever.co/wahed.com/36a29823-eb61-4825-b988-8e17c4b15f31,New York,New York,United States,"Wahed is seeking React engineers to join their Platform and Global development teams. The role involves building, maintaining, designing, and implementing features across web platforms. Candidates should be self-motivated, eager to learn new technologies, and work well in teams and independently.",6-Feb-25,06/02/2025,,WHEN id = 5 THEN '06/02/2025',,,,5
Graphic Designer,Consult NTA,https://forms.gle/ubsDKWLuuewgyH456,"California, US",California,United States,"ConsultNTA (consultnta.com) is a digital strategy consulting firm that helps businesses navigate the complexities of the digital landscape.

We are looking to expand our design team with a Graphic Designer who thrives in creating visually compelling branding and marketing materials. This is a remote role open to candidates worldwide.

Responsibilities:

- Design branding materials, including logos, style guides, and visual identities.
- Create graphics for web and social media, including ads, banners, and templates.
- Develop pitch decks and presentation materials for clients.
- Collaborate with the UX and web development teams to ensure consistency in visuals.

Candidate Qualifications:

- Fluent in English.
- Proficiency in Figma & Adobe Creative Suite (Photoshop, Illustrator, InDesign).
- A strong portfolio showcasing diverse design projects.
- Excellent attention to detail and ability to meet tight deadlines.

Salary: $600 - $1,500 USD/month (based on experience)

Be part of a team that blends strategy with execution, fosters creativity, and delivers impactful results.",2-Feb-25,02/02/2025,,WHEN id = 6 THEN '02/02/2025',,,,6
Full-Stack TypeScript Engineer,Consult NTA,https://forms.gle/MAt5NK9QXkiZXCng9,"California, US",California,United States,"ConsultNTA is a digital strategy consulting firm that helps businesses navigate the complexities of the online world.
We’re growing our engineering team and looking for an experienced Full-Stack TypeScript Engineer to build and deploy applications with a focus on rapid MVP iteration and scalable production systems. This role requires strong problem-solving skills, attention to detail, and close collaboration with UX designers and product teams.

What You’ll Do
• Develop full-stack applications using Next.js and TypeScript
• Deploy, test, and refine applications for rapid iteration
• Manage APIs, databases, and cloud infrastructure
• Optimize CI/CD workflows and improve deployment processes
• Work within JIRA for structured task management
• Ensure a seamless transition from MVP to full-scale production

What We’re Looking For
• 4+ years of full-stack web development experience
• Expertise in Next.js, TypeScript, and Tailwind CSS
• Strong backend experience with Node.js/Nest.js (Python is a plus)
• Experience deploying applications with Vercel and Railway
• Ability to work efficiently with UX teams and iterate quickly
• Familiarity with databases like PostgreSQL, Prisma, Supabase, or Firebase
• Proficiency in English (written & spoken)
• Some DevOps knowledge (CI/CD, cloud deployment, basic containerization)
• A proactive mindset and strong sense of ownership over tasks

Job Structure & Compensation
• Part-time, project-based to start, with potential for long-term work
• Competitive market rates, based on experience and location
• Fully remote with flexible working hours
• Opportunities for growth, increased pay, and leadership roles as we scale

Salary Range: 600-1,600 USD / month

Interested? Let’s build something great together!",25-Feb-25,25/02/2025,,WHEN id = 7 THEN '25/02/2025',,,,7
UX Designer,Consult NTA,https://forms.gle/Z4sKrbng7TwjQpef6,"California, US",California,United States,"ConsultNTA is a digital strategy consulting firm that helps businesses navigate the complexities of the online world.

We’re looking for a world-class UX Designer with expertise in Figma to craft intuitive, visually compelling user experiences for websites and web apps. Your work will be crucial in balancing functionality, aesthetics, and seamless interaction.

What You’ll Do
• Design user-centered interfaces for websites and applications
• Create wireframes, prototypes, and style guides in Figma
• Collaborate closely with developers and project managers to bring designs to life
• Stay ahead of UI/UX trends and integrate best practices into our projects

What We’re Looking For
• Fluent in English (written & spoken)
• Advanced Figma skills (including components, auto-layout, and prototyping)
• A strong portfolio showcasing user-friendly designs and creative problem-solving
• Understanding of responsive design principles and accessibility standards

Job Structure & Compensation
• Part-time, project-based to start, with potential for long-term work
• Competitive market rates, based on experience and location
• Fully remote with flexible working hours
• Opportunities for growth, increased pay, and leadership roles as we scale

Excited to design seamless digital experiences? Let’s create something amazing together!",24-Feb-25,24/02/2025,,WHEN id = 8 THEN '24/02/2025',,,,8
Roblox Developer,Kaigan Games,mailto:iva@kaigangames.com,"Kuala Lumpur, Malaysia",Kuala Lumpur,Malaysia,"Are you a Roblox Developer with a passion for creating immersive experiences?
Kaigan Games are looking for a talented Lua scripting expert to join their team on a contract
basis! Work remotely with a flexible schedule and bring your creativity to life in the
Roblox universe.

Position: Roblox Developer (Contract)
Location: Remote
Start Date: ~1 month from now
Duration &amp; Fee: To be discussed

What You’ll Do:
 Develop and optimize engaging Roblox experiences
 Write clean, efficient Lua scripts
 Collaborate with designers and game artists
 Implement UI, gameplay mechanics, and interactive elements
 Debug, test, and ensure smooth player experience

Requirement:
 Proven experience in Roblox Studio &amp; Lua scripting
 Strong knowledge of game mechanics, UI, and multiplayer systems
 Portfolio of past Roblox projects (or links to games you’ve worked on)
 Ability to work independently and meet deadlines
 Passion for gaming and creativity!

Why Join Kaigan Games?
- Work on an exciting new project with creative freedom
- 100% remote—work from anywhere!

Interested? Apply now! Send your portfolio, resume, and rates to
iva@kaigangames.com. Let’s create something amazing together!",21-Feb-25,21/02/2025,,WHEN id = 9 THEN '21/02/2025',,,,9
"Senior Software Engineer (iOS & Android, Permanent/Freelance)",Asah Inc,https://app.dover.com/apply/Asah%20Inc/004fb9d6-71a2-4143-8dcc-ff157cdc53a6,"Menlo Park, CA, United States",Menlo Park,United States,"Asah AI is seeking a Senior Software Engineer to join their team in building a B2C AI product. The role involves developing iOS and Android apps, collaborating with remote teams, and working in a flexible, startup environment. Candidates should have experience in building large-scale mobile applications and a strong work ethic.",20-Feb-25,20/02/2025,,WHEN id = 10 THEN '20/02/2025',,,,10
