title,company,apply_link,company_location,company_city,company_country,job_description,job_date
Executive Assistant to CEO,LaunchGood,https://secure.collage.co/jobs/launchgood/48147,"Michigan, United States",Michigan,United States,"What You’ll Do :

Executive & Strategic Support

• Serve as a trusted partner to the CEO, anticipating needs and proactively solving challenges.
• Manage the CEO’s calendar, appointments, and priorities to optimize time and efficiency.
• Coordinate meetings, prepare agendas, take detailed notes, and ensure action items are followed up.
• Handle high-level communication, liaising between the CEO and internal/external stakeholders.

Operational & Administrative Excellence

• Oversee email and inbox management, filtering and prioritizing critical communications.
• Handle complex travel planning, including itineraries and accommodations for business and personal trips.
• Support the CEO in recruitment and onboarding for key hires, ensuring a smooth hiring process and seamless integration of new team members.
• Ensure confidentiality and discretion when managing sensitive information.

Project & Initiative Management

• Assist in executing key business initiatives and projects in alignment with the CEO’s vision.
• Analyze data, prepare reports, and provide insights that support informed decision-making.
• Improve processes and workflows to enhance productivity and operational alignment.

 What You’ll Bring :

• Strategic Thinking & Problem-Solving: Ability to anticipate needs, analyze challenges, and propose solutions.
• Proactive & Intuitive Approach: Demonstrated ability to take initiative, solve problems, and drive tasks forward with minimal instructions or supervision.
• Exceptional Organization & Attention to Detail: Proven ability to manage multiple priorities and maintain efficiency.
• Strong Communication Skills: Excellent verbal and written communication to facilitate clear, impactful interactions.
• Tech Savviness: Proficiency in Notion, Google Suite, Slack, and Office 365.
• Experience with AI Tools: Comfortable leveraging AI-driven tools for productivity, automation, and decision support.
• Adaptability & Flexibility: Comfortable working in a fast-moving environment with changing priorities.

 Qualifications :

• Prior experience supporting executives, preferably at the C-level.
• Strong project management skills, with the ability to oversee and execute special initiatives.
• Proven ability to work in EST hours.
• A high degree of professionalism, confidentiality, and emotional intelligence.

 What Success Looks Like :

• The CEO’s time and focus are optimized for maximum impact.
• Critical projects and initiatives are executed efficiently with measurable results.
• Communication and workflows across teams are streamlined for operational excellence.","March 15, 2025"
Experienced Senior Sales Professional,Rubythalib.ai,https://forms.gle/aNeFKfNPVyMxfLeD6,"Surakarta, Indonesia",Surakarta,Indonesia,"We're Hiring: Experienced Senior Sales Professional at Rubythalib.ai

Are you an experienced sales professional with a passion for technology? Rubythalib.ai is seeking a skilled Senior Sales specialist to drive our business forward.

This role is remote with a preference for candidates based in Jakarta.

What You’ll Do:
- Develop and execute sales strategies to attract new business  
- Build and maintain strong relationships with clients  
- Manage the entire sales cycle from prospecting to closing  
- Collaborate with the team to achieve and exceed sales targets

What We’re Looking For:
- Solid experience in sales, preferably within the tech or AI industry  
- Excellent communication, negotiation, and relationship-building skills  
- A self-driven and proactive approach with a focus on results  
- Ability to work remotely while staying connected with a dynamic team

Salary: 7 million - 10 million IDR + commission for successful sales.

Join Rubythalib.ai and help shape the future of AI technology!","March 24, 2025"
QA Automation Tester (Web and Mobile) - Remote,KangarooHealth,https://wellfound.com/jobs/2726462-qa-automation-tester-web-and-mobile-remote,"California, US",California,United States,"We are building an intelligent early detection system for patient care—a $100B+ market in the US alone. Headquartered in California, our passionate and talented team is transforming healthcare by delivering real impact to patients and providers.

We are looking for a Senior QA Automation Engineer who thrives in a startup environment and is eager to contribute to the next healthcare unicorn. This is a high-ownership role where you will drive the quality of our web and mobile applications. You are detail-oriented, proactive, and comfortable working in a fast-paced, agile environment with minimal oversight.

What You’ll Do:
• Design, build, and maintain automation test frameworks and scripts.
• Lead QA efforts for web and mobile (iOS, Android) applications.
• Work closely with developers and product teams to ensure seamless integration of QA processes.
• Execute test cases, track bugs, and manage defect life cycles using Jira.
• Automate test execution using pytest + Selenium for web and mobile testing.
• Ensure ADA compliance for web applications as needed.
• Collaborate in an agile environment with a strong focus on continuous improvement and efficiency.

What You Bring:
• 5+ years of experience in QA automation for web and mobile applications.
• Proficiency in Python, Selenium, and mobile testing frameworks (iOS 9.0+, Android 16.0+).
• Hands-on experience with TestRail, Jira, Git/GitHub, Jenkins, and GitHub Actions.
• Strong debugging and problem-solving skills.
• Ability to work PST hours and adapt to a startup’s dynamic environment.
• Excellent attention to detail, documentation, and communication skills.

Work Hours: 6PM-2AM WIB

Why Join Us?

• Salary: 50-80 IDR Mio / month.
• Opportunity to shape and scale a game-changing healthtech platform.
• Rapid career growth with leadership opportunities.
• Work with top-tier engineering and product mentors.
• 100% remote, flexible working environment.

Preferred: Startup experience and a passion for digital health innovation.
Ready to make an impact? Apply now and be part of something big!","March 7, 2025"
Backend Engineer,Wahed,https://jobs.lever.co/wahed.com/43bf4538-01ec-4f42-b416-187fd82940f0,New York,New York,United States,"Wahed is seeking Backend Engineers to join their team, focusing on building, maintaining, and implementing microservices and improving Golang services. The role involves collaboration, innovation, and a commitment to perfection. Candidates should have experience in backend development, preferably with Golang, SQL/NoSQL databases, and AWS tools.","February 26, 2025"
React Engineer,Wahed,https://jobs.lever.co/wahed.com/36a29823-eb61-4825-b988-8e17c4b15f31,New York,New York,United States,"Wahed is seeking React engineers to join their Platform and Global development teams. The role involves building, maintaining, designing, and implementing features across web platforms. Candidates should be self-motivated, eager to learn new technologies, and work well in teams and independently.","February 6, 2025"
Graphic Designer,Consult NTA,https://forms.gle/ubsDKWLuuewgyH456,"California, US",California,United States,"ConsultNTA (consultnta.com) is a digital strategy consulting firm that helps businesses navigate the complexities of the digital landscape.

We are looking to expand our design team with a Graphic Designer who thrives in creating visually compelling branding and marketing materials. This is a remote role open to candidates worldwide.

Responsibilities:

- Design branding materials, including logos, style guides, and visual identities.
- Create graphics for web and social media, including ads, banners, and templates.
- Develop pitch decks and presentation materials for clients.
- Collaborate with the UX and web development teams to ensure consistency in visuals.

Candidate Qualifications:

- Fluent in English.
- Proficiency in Figma & Adobe Creative Suite (Photoshop, Illustrator, InDesign).
- A strong portfolio showcasing diverse design projects.
- Excellent attention to detail and ability to meet tight deadlines.

Salary: $600 - $1,500 USD/month (based on experience)

Be part of a team that blends strategy with execution, fosters creativity, and delivers impactful results.","February 2, 2025"
Full-Stack TypeScript Engineer,Consult NTA,https://forms.gle/MAt5NK9QXkiZXCng9,"California, US",California,United States,"ConsultNTA is a digital strategy consulting firm that helps businesses navigate the complexities of the online world.
We’re growing our engineering team and looking for an experienced Full-Stack TypeScript Engineer to build and deploy applications with a focus on rapid MVP iteration and scalable production systems. This role requires strong problem-solving skills, attention to detail, and close collaboration with UX designers and product teams.

What You’ll Do
• Develop full-stack applications using Next.js and TypeScript
• Deploy, test, and refine applications for rapid iteration
• Manage APIs, databases, and cloud infrastructure
• Optimize CI/CD workflows and improve deployment processes
• Work within JIRA for structured task management
• Ensure a seamless transition from MVP to full-scale production

What We’re Looking For
• 4+ years of full-stack web development experience
• Expertise in Next.js, TypeScript, and Tailwind CSS
• Strong backend experience with Node.js/Nest.js (Python is a plus)
• Experience deploying applications with Vercel and Railway
• Ability to work efficiently with UX teams and iterate quickly
• Familiarity with databases like PostgreSQL, Prisma, Supabase, or Firebase
• Proficiency in English (written & spoken)
• Some DevOps knowledge (CI/CD, cloud deployment, basic containerization)
• A proactive mindset and strong sense of ownership over tasks

Job Structure & Compensation
• Part-time, project-based to start, with potential for long-term work
• Competitive market rates, based on experience and location
• Fully remote with flexible working hours
• Opportunities for growth, increased pay, and leadership roles as we scale

Salary Range: 600-1,600 USD / month

Interested? Let’s build something great together!","February 25, 2025"
UX Designer,Consult NTA,https://forms.gle/Z4sKrbng7TwjQpef6,"California, US",California,United States,"ConsultNTA is a digital strategy consulting firm that helps businesses navigate the complexities of the online world.

We’re looking for a world-class UX Designer with expertise in Figma to craft intuitive, visually compelling user experiences for websites and web apps. Your work will be crucial in balancing functionality, aesthetics, and seamless interaction.

What You’ll Do
• Design user-centered interfaces for websites and applications
• Create wireframes, prototypes, and style guides in Figma
• Collaborate closely with developers and project managers to bring designs to life
• Stay ahead of UI/UX trends and integrate best practices into our projects

What We’re Looking For
• Fluent in English (written & spoken)
• Advanced Figma skills (including components, auto-layout, and prototyping)
• A strong portfolio showcasing user-friendly designs and creative problem-solving
• Understanding of responsive design principles and accessibility standards

Job Structure & Compensation
• Part-time, project-based to start, with potential for long-term work
• Competitive market rates, based on experience and location
• Fully remote with flexible working hours
• Opportunities for growth, increased pay, and leadership roles as we scale

Excited to design seamless digital experiences? Let’s create something amazing together!","February 24, 2025"
Roblox Developer,Kaigan Games,mailto:iva@kaigangames.com,"Kuala Lumpur, Malaysia",Kuala Lumpur,Malaysia,"Are you a Roblox Developer with a passion for creating immersive experiences?
Kaigan Games are looking for a talented Lua scripting expert to join their team on a contract
basis! Work remotely with a flexible schedule and bring your creativity to life in the
Roblox universe.

Position: Roblox Developer (Contract)
Location: Remote
Start Date: ~1 month from now
Duration &amp; Fee: To be discussed

What You’ll Do:
 Develop and optimize engaging Roblox experiences
 Write clean, efficient Lua scripts
 Collaborate with designers and game artists
 Implement UI, gameplay mechanics, and interactive elements
 Debug, test, and ensure smooth player experience

Requirement:
 Proven experience in Roblox Studio &amp; Lua scripting
 Strong knowledge of game mechanics, UI, and multiplayer systems
 Portfolio of past Roblox projects (or links to games you’ve worked on)
 Ability to work independently and meet deadlines
 Passion for gaming and creativity!

Why Join Kaigan Games?
- Work on an exciting new project with creative freedom
- 100% remote—work from anywhere!

Interested? Apply now! Send your portfolio, resume, and rates to
iva@kaigangames.com. Let’s create something amazing together!","February 21, 2025"
"Senior Software Engineer (iOS & Android, Permanent/Freelance)",Asah Inc,https://app.dover.com/apply/Asah%20Inc/004fb9d6-71a2-4143-8dcc-ff157cdc53a6,"Menlo Park, CA, United States",Menlo Park,United States,"Asah AI is seeking a Senior Software Engineer to join their team in building a B2C AI product. The role involves developing iOS and Android apps, collaborating with remote teams, and working in a flexible, startup environment. Candidates should have experience in building large-scale mobile applications and a strong work ethic.","February 20, 2025"
